CRITIC_RATING,region_sales_dim,DEVELOPER_ID (Custom SQL Query4),DEVELOPER_ID,DEVELOPER_NAME,EUROPE_SALES,FACT_ID,GAME_ID (Custom SQL Query2),GAME_ID,GAME_NAME,GENRE_ID (Custom SQL Query3),GENRE_ID,GENRE_NAME,GLOBAL_SALES,JAPAN_SALES,N_AMERICA_SALES,Number of Records,OTHER_SALES,PLATFORM_ID (Custom SQL Query5),PLATFORM_ID,PLATFORM_NAME,PUBLISHER_ID (Custom SQL Query6),PUBLISHER_ID,PUBLISHER_NAME,USER_COUNT,USER_RATING,YEAR_ID (Custom SQL Query1),YEAR_ID,YEAR_OF_RELEASE
82,3,624,624,Visual Concepts,0.02,306,4865,4865,NBA 2K10,10,10,Sports,0.97,0,0.88,1,0.08,37,37,X360,496,496,Take-Two Interactive,7.6,46,2,2,2009
,3,624,624,Visual Concepts,0.01,307,4865,4865,NBA 2K10,10,10,Sports,0.4,0,0.33,1,0.05,55,55,PS2,496,496,Take-Two Interactive,8.6,,2,2,2009
83,3,624,624,Visual Concepts,0.01,308,4865,4865,NBA 2K10,10,10,Sports,0.84,0.01,0.75,1,0.07,57,57,PS3,496,496,Take-Two Interactive,7.8,30,2,2,2009
,3,,,,0.31,309,5121,5121,Kane & Lynch: Dead Men,8,8,Shooter,0.76,0.01,0.36,1,0.08,37,37,X360,263,263,Eidos Interactive,,,19,19,2007
,3,,,,0.32,310,5121,5121,Kane & Lynch: Dead Men,8,8,Shooter,0.75,0.01,0.29,1,0.13,57,57,PS3,263,263,Eidos Interactive,,,19,19,2007
,3,,,,0.17,311,5377,5377,Yu-Gi-Oh! Capsule Monster Coliseum,11,11,Misc,0.44,0,0.22,1,0.06,55,55,PS2,205,205,Konami Digital Entertainment,,,27,27,2004
,3,,,,0.01,312,5633,5633,Mia Hamm Soccer 64,10,10,Sports,0.07,0,0.06,1,0,58,58,N64,60,60,THQ,,,21,21,2000
78,3,5,5,Haemimont,0.13,313,5889,5889,Tropico 4,12,12,Strategy,0.27,0,0.1,1,0.04,56,56,PC,58,58,Kalypso Media,7.7,46,20,20,2011
77,3,5,5,Haemimont,0.12,314,5889,5889,Tropico 4,12,12,Strategy,0.35,0,0.2,1,0.03,37,37,X360,58,58,Kalypso Media,7.5,18,36,36,2012
47,3,212,212,Altron,0.18,315,6145,6145,Phineas and Ferb: Across the 2nd Dimension,6,6,Action,0.54,0,0.31,1,0.05,45,45,DS,206,206,Disney Interactive Studios,0,5,20,20,2011
76,3,1333,1333,High Impact Games,0.18,316,6145,6145,Phineas and Ferb: Across the 2nd Dimension,6,6,Action,0.57,0,0.35,1,0.05,33,33,Wii,206,206,Disney Interactive Studios,8.3,4,20,20,2011
63,3,1333,1333,High Impact Games,0.11,317,6145,6145,Phineas and Ferb: Across the 2nd Dimension,6,6,Action,0.32,0,0.15,1,0.05,57,57,PS3,206,206,Disney Interactive Studios,6.6,13,20,20,2011
36,3,1263,1263,Ubisoft,0,318,6401,6401,Teenage Mutant Ninja Turtles: Arcade Attack,6,6,Action,0.13,0,0.12,1,0.01,45,45,DS,415,415,Ubisoft,4.8,8,2,2,2009
,3,,,,0,319,6657,6657,Pachitte Chonmage Tatsujin 12: Pachinko Ultraman,11,11,Misc,0.03,0.03,0,1,0,55,55,PS2,538,538,Hackberry,,,19,19,2007
65,3,1045,1045,Capcom,0.12,320,6913,6913,Chaos Legion,6,6,Action,0.3,0,0.15,1,0.04,55,55,PS2,353,353,Capcom,8.2,34,29,29,2003
,3,,,,0.42,321,7169,7169,Jet Moto 2,2,2,Racing,1.94,0.03,1.41,1,0.07,34,34,PS,417,417,Sony Computer Entertainment,,,5,5,1997
83,3,1050,1050,Atlus,0.07,322,7425,7425,Persona Q: Shadow of the Labyrinth,14,14,Role-Playi,0.72,0.27,0.34,1,0.04,61,61,3DS,59,59,Nippon Ichi Software,8.1,56,8,8,2014
57,3,128,128,MBA International,0,323,7681,7681,Fast Food Panic,13,13,Simulation,0.06,0,0.06,1,0,33,33,Wii,374,374,Nobilis,0,6,2,2,2009
,3,101,101,Dorasu,0,324,7681,7681,Fast Food Panic,13,13,Simulation,0.14,0,0.13,1,0.01,45,45,DS,374,374,Nobilis,0,,4,4,2010
,3,,,,0,325,7937,7937,World Championship Games: A Track & Field Event,10,10,Sports,0.09,0,0.08,1,0.01,45,45,DS,498,498,Ghostlight,,,38,38,2008
84,3,503,503,Pandemic Studios,0.16,326,8194,8194,Full Spectrum Warrior,12,12,Strategy,0.73,0,0.54,1,0.03,47,47,XB,60,60,THQ,8.7,67,27,27,2004
74,3,503,503,Pandemic Studios,0.11,327,8194,8194,Full Spectrum Warrior,12,12,Strategy,0.3,0,0.15,1,0.04,55,55,PS2,60,60,THQ,8,24,3,3,2005
,3,,,,0,328,8706,8706,The Legend of the Mystical Ninja,5,5,Adventure,0.48,0.48,0,1,0,63,63,SNES,205,205,Konami Digital Entertainment,,,40,40,1991
,3,249,249,THQ,0,329,9218,9218,Princess in Love,13,13,Simulation,0.08,0,0.07,1,0.01,45,45,DS,62,62,DTP Entertainment,0,,2,2,2009
,3,,,,0.16,330,9730,9730,Jampack Spring 2004 (RP-T),11,11,Misc,0.41,0,0.2,1,0.05,55,55,PS2,417,417,Sony Computer Entertainment,,,29,29,2003
,3,,,,0,331,10242,10242,World Trigger: Borderless Mission,6,6,Action,0.04,0.04,0,1,0,49,49,PSV,497,497,Namco Bandai Games,,,28,28,2015
,3,1263,1263,Ubisoft,0.2,332,10754,10754,My Secret World by Imagine,11,11,Misc,0.2,0,0,1,0,45,45,DS,415,415,Ubisoft,8.8,,38,38,2008
75,3,1249,1249,Fluid Studios,0.01,333,11266,11266,Worms World Party,12,12,Strategy,0.05,0,0.04,1,0,44,44,GBA,415,415,Ubisoft,0,4,37,37,2002
75,3,1070,1070,Team 17,0.01,334,11266,11266,Worms World Party,12,12,Strategy,0.02,0,0,1,0,56,56,PC,178,178,Virgin Interactive,7.6,8,11,11,2001
,3,937,937,Hoget,0,335,2049,2049,Rollin' Rascals,9,9,Puzzle,0.04,0,0.04,1,0,45,45,DS,419,419,Rising Star Games,0,,2,2,2009
75,3,1077,1077,Shin'en,0.01,336,2177,2177,Nanostray 2,8,8,Shooter,0.05,0,0.03,1,0,45,45,DS,128,128,Codemasters,7.8,23,38,38,2008
19,3,242,242,Black Lantern Studios,0,337,2305,2305,Balls of Fury,10,10,Sports,0.02,0,0.02,1,0,33,33,Wii,92,92,Zoo Digital Publishing,2.8,6,19,19,2007
62,3,242,242,Black Lantern Studios,0,338,2305,2305,Balls of Fury,10,10,Sports,0.02,0,0.02,1,0,45,45,DS,92,92,Zoo Digital Publishing,0,7,19,19,2007
75,3,1483,1483,Konami,0.08,339,2433,2433,Dance Dance Revolution Ultramix 3,13,13,Simulation,0.38,0,0.28,1,0.01,47,47,XB,205,205,Konami Digital Entertainment,8.6,16,3,3,2005
88,3,826,826,EA Tiburon,0.41,340,2561,2561,NASCAR Thunder 2004,2,2,Racing,1.08,0,0.53,1,0.14,55,55,PS2,349,349,Electronic Arts,8.9,15,29,29,2003
85,3,890,890,EA Games,0.05,341,2561,2561,NASCAR Thunder 2004,2,2,Racing,0.23,0,0.18,1,0.01,47,47,XB,349,349,Electronic Arts,9.1,14,29,29,2003
79,3,647,647,Sandlot,0.03,342,2689,2689,Robot Alchemic Drive,6,6,Action,0.07,0,0.03,1,0.01,55,55,PS2,43,43,Enix Corporation,8.2,21,37,37,2002
,3,,,,0,343,2817,2817,Nobunaga no Yabou: Reppuuden,12,12,Strategy,0.2,0.19,0,1,0.01,34,34,PS,132,132,Tecmo Koei,,,10,10,1999
,3,,,,0.02,344,2945,2945,Project: Horned Owl,8,8,Shooter,0.11,0.05,0.03,1,0.01,34,34,PS,417,417,Sony Computer Entertainment,,,22,22,1995
,3,,,,0,345,3073,3073,Strawberry Nauts,5,5,Adventure,0.01,0.01,0,1,0,49,49,PSV,350,350,Unknown,,,33,33,2016
74,3,1319,1319,"CyberConnect2, Racjin",0.14,346,3201,3201,Naruto Shippuden: Ultimate Ninja Storm Generations,3,3,Fighting,0.44,0.01,0.26,1,0.04,37,37,X360,497,497,Namco Bandai Games,7.2,35,36,36,2012
74,3,1319,1319,"CyberConnect2, Racjin",0.24,347,3201,3201,Naruto Shippuden: Ultimate Ninja Storm Generations,3,3,Fighting,0.73,0.14,0.27,1,0.08,57,57,PS3,497,497,Namco Bandai Games,7.1,23,36,36,2012
,3,,,,0.02,348,3329,3329,Mega Minis Volume 2,11,11,Misc,0.03,0,0,1,0.01,35,35,PSP,417,417,Sony Computer Entertainment,,,20,20,2011
61,3,203,203,Artificial Mind and Movement,0.01,349,3457,3457,The Lord of the Rings: Conquest,6,6,Action,0.1,0,0.09,1,0.01,45,45,DS,349,349,Electronic Arts,7.8,9,2,2,2009
57,3,503,503,Pandemic Studios,0.02,350,3457,3457,The Lord of the Rings: Conquest,6,6,Action,0.02,0,0,1,0,56,56,PC,349,349,Electronic Arts,6.7,24,2,2,2009
55,3,503,503,Pandemic Studios,0.2,351,3457,3457,The Lord of the Rings: Conquest,6,6,Action,0.63,0,0.37,1,0.06,37,37,X360,349,349,Electronic Arts,7,58,2,2,2009
54,3,503,503,Pandemic Studios,0.25,352,3457,3457,The Lord of the Rings: Conquest,6,6,Action,0.74,0,0.38,1,0.11,57,57,PS3,349,349,Electronic Arts,7.1,45,2,2,2009
,3,,,,0.12,353,3585,3585,UEFA Euro 2008 Austria-Switzerland,10,10,Sports,0.25,0,0.06,1,0.06,35,35,PSP,349,349,Electronic Arts,,,38,38,2008
,3,,,,0.23,354,3585,3585,UEFA Euro 2008 Austria-Switzerland,10,10,Sports,0.34,0,0.08,1,0.03,37,37,X360,349,349,Electronic Arts,,,38,38,2008
,3,,,,0,355,3585,3585,UEFA Euro 2008 Austria-Switzerland,10,10,Sports,0.32,0,0.03,1,0.28,55,55,PS2,349,349,Electronic Arts,,,38,38,2008
,3,,,,0.26,356,3585,3585,UEFA Euro 2008 Austria-Switzerland,10,10,Sports,0.41,0,0.08,1,0.06,57,57,PS3,349,349,Electronic Arts,,,38,38,2008
,3,903,903,Jack of All Games,0,357,3713,3713,Ultimate Board Game Collection,11,11,Misc,0.14,0,0.13,1,0.01,33,33,Wii,95,95,Xplosiv,0,,19,19,2007
57,3,903,903,Jack of All Games,0,358,3713,3713,Ultimate Board Game Collection,11,11,Misc,0.07,0,0.06,1,0.01,35,35,PSP,95,95,Xplosiv,0,6,19,19,2007
37,3,903,903,Jack of All Games,0,359,3713,3713,Ultimate Board Game Collection,11,11,Misc,0.01,0,0.01,1,0,55,55,PS2,95,95,Xplosiv,0,6,7,7,2006
,3,,,,0,360,3841,3841,Bleach: Blade Battlers,3,3,Fighting,0.05,0.05,0,1,0,55,55,PS2,417,417,Sony Computer Entertainment,,,7,7,2006
,3,1229,1229,Full-Fat,0.15,361,3969,3969,Ms. Pac-Man Maze Madness,9,9,Puzzle,0.56,0,0.4,1,0.01,44,44,GBA,92,92,Zoo Digital Publishing,0,,27,27,2004
,3,,,,0.17,362,3969,3969,Ms. Pac-Man Maze Madness,9,9,Puzzle,0.44,0,0.25,1,0.03,34,34,PS,497,497,Namco Bandai Games,,,21,21,2000
68,3,830,830,Acclaim,0.06,363,4098,4098,Shadow Man: 2econd Coming,5,5,Adventure,0.16,0,0.08,1,0.02,55,55,PS2,44,44,Acclaim Entertainment,7.6,24,37,37,2002
,3,,,,0,364,4354,4354,Detana TwinBee Yahho! Deluxe Pack,8,8,Shooter,0.09,0.08,0,1,0.01,34,34,PS,205,205,Konami Digital Entertainment,,,22,22,1995
,3,,,,0,365,4354,4354,Detana TwinBee Yahho! Deluxe Pack,8,8,Shooter,0.13,0.13,0,1,0,52,52,SAT,205,205,Konami Digital Entertainment,,,22,22,1995
,3,,,,0,366,4610,4610,Pretty Cure All Stars Everyone Gather ? Let's Dance!,11,11,Misc,0.05,0.05,0,1,0,33,33,Wii,497,497,Namco Bandai Games,,,1,1,2013
47,3,713,713,Buzz Monkey,0.17,367,4866,4866,Tony Hawk: RIDE,10,10,Sports,0.94,0,0.69,1,0.08,33,33,Wii,2,2,Activision,4.5,15,2,2,2009
46,3,236,236,Robomodo,0.1,368,4866,4866,Tony Hawk: RIDE,10,10,Sports,0.61,0,0.46,1,0.05,37,37,X360,2,2,Activision,3,43,2,2,2009
44,3,236,236,Robomodo,0.14,369,4866,4866,Tony Hawk: RIDE,10,10,Sports,0.59,0,0.38,1,0.07,57,57,PS3,2,2,Activision,2.1,29,2,2,2009
53,3,73,73,Eurocom Entertainment Software,0.02,370,5122,5122,Pirates of the Caribbean: At World's End,6,6,Action,0.45,0.01,0.39,1,0.04,33,33,Wii,206,206,Disney Interactive Studios,7.2,17,19,19,2007
61,3,73,73,Eurocom Entertainment Software,0.17,371,5122,5122,Pirates of the Caribbean: At World's End,6,6,Action,0.42,0,0.15,1,0.1,35,35,PSP,206,206,Disney Interactive Studios,7,5,19,19,2007
58,3,73,73,Eurocom Entertainment Software,0.02,372,5122,5122,Pirates of the Caribbean: At World's End,6,6,Action,0.34,0,0.29,1,0.03,37,37,X360,206,206,Disney Interactive Studios,5.3,42,19,19,2007
54,3,73,73,Eurocom Entertainment Software,0.16,373,5122,5122,Pirates of the Caribbean: At World's End,6,6,Action,0.42,0,0.2,1,0.05,55,55,PS2,206,206,Disney Interactive Studios,7,10,19,19,2007
55,3,73,73,Eurocom Entertainment Software,0.41,374,5122,5122,Pirates of the Caribbean: At World's End,6,6,Action,0.73,0,0.17,1,0.15,57,57,PS3,206,206,Disney Interactive Studios,6.9,24,19,19,2007
66,3,399,399,Amaze Entertainment,0.01,375,5122,5122,Pirates of the Caribbean: At World's End,6,6,Action,0.34,0.01,0.3,1,0.03,45,45,DS,206,206,Disney Interactive Studios,0,14,19,19,2007
,3,,,,0,376,5378,5378,Famicom Mini: Super Mario Bros. 2,4,4,Platform,0.42,0.41,0,1,0.01,44,44,GBA,351,351,Nintendo,,,27,27,2004
,3,,,,0,377,5634,5634,Sunrise Eiyuutan R,14,14,Role-Playi,0.06,0.06,0,1,0,55,55,PS2,40,40,Sunrise Interactive,,,21,21,2000
53,3,1476,1476,Sinister Games,0.11,378,5890,5890,The Dukes of Hazzard II: Daisy Dukes It Out,2,2,Racing,0.3,0,0.17,1,0.02,34,34,PS,350,350,Unknown,0,5,2,2,2009
76,3,679,679,Reality Pump,0.09,379,6146,6146,Two Worlds II,14,14,Role-Playi,0.2,0,0.09,1,0.02,56,56,PC,350,350,Unknown,6.5,31,20,20,2011
67,3,679,679,Reality Pump,0.07,380,6146,6146,Two Worlds II,14,14,Role-Playi,0.54,0.03,0.4,1,0.03,37,37,X360,350,350,Unknown,6.6,50,20,20,2011
70,3,679,679,Reality Pump,0.1,381,6146,6146,Two Worlds II,14,14,Role-Playi,0.46,0.06,0.26,1,0.05,57,57,PS3,350,350,Unknown,7,28,20,20,2011
63,3,275,275,Now Production,0,382,6402,6402,Undead Knights,6,6,Action,0.12,0.06,0.05,1,0.01,35,35,PSP,144,144,Ubisoft Annecy,8,27,2,2,2009
,3,,,,0,383,6658,6658,Mame Goma: Honobo no Nikki,13,13,Simulation,0.03,0.03,0,1,0,45,45,DS,99,99,TDK Core,,,19,19,2007
48,3,593,593,Graphic State,0.08,384,6914,6914,Crazy Taxi: Catch a Ride,2,2,Racing,0.3,0,0.21,1,0.01,44,44,GBA,60,60,THQ,5.9,14,29,29,2003
,3,,,,0.04,385,7170,7170,SaGa Frontier,14,14,Role-Playi,1.35,1.07,0.15,1,0.09,34,34,PS,237,237,SquareSoft,,,5,5,1997
69,3,1524,1524,Racjin,0.07,386,7426,7426,Final Fantasy Explorers,14,14,Role-Playi,0.54,0.28,0.16,1,0.02,61,61,3DS,416,416,Square Enix,7,57,8,8,2014
,3,,,,0.01,387,7682,7682,"NewU Fitness First Mind Body, Yoga & Pilates Workout",10,10,Sports,0.14,0,0.12,1,0.01,33,33,Wii,266,266,Black Bean Games,,,4,4,2010
56,3,1314,1314,Hellbent Games,0.01,388,7938,7938,Supreme Commander,12,12,Strategy,0.09,0,0.07,1,0.01,37,37,X360,64,64,505 Games,5.7,24,38,38,2008
86,3,267,267,Gas Powered Games,0.04,389,7938,7938,Supreme Commander,12,12,Strategy,0.05,0,0,1,0.01,56,56,PC,60,60,THQ,8.3,44,19,19,2007
70,3,952,952,Secret Level,0.05,390,8196,8196,America's Army: Rise of a Soldier,8,8,Shooter,0.25,0,0.19,1,0.01,47,47,XB,415,415,Ubisoft,7.4,19,3,3,2005
,3,,,,0.3,391,8708,8708,Tennis,10,10,Sports,1.99,0.9,0.75,1,0.04,48,48,GB,351,351,Nintendo,,,24,24,1989
,3,,,,0.11,392,8708,8708,Tennis,10,10,Sports,2.17,1.56,0.48,1,0.02,54,54,NES,351,351,Nintendo,,,31,31,1984
,3,,,,0,393,9220,9220,Tokimeki Memorial 4,5,5,Adventure,0.08,0.08,0,1,0,35,35,PSP,205,205,Konami Digital Entertainment,,,2,2,2009
,3,1260,1260,Vicarious Visions,0.1,394,9732,9732,Disney's Brother Bear,6,6,Action,0.39,0,0.28,1,0.01,44,44,GBA,60,60,THQ,0,,29,29,2003
,3,,,,0,395,10244,10244,Nobunaga's Ambition II,12,12,Strategy,0.04,0.04,0,1,0,61,61,3DS,132,132,Tecmo Koei,,,28,28,2015
